[2025-03-03 03:06:47,135] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,141] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,148] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,155] INFO [Broker id=0] Leader connect-status-2 with topic id Some(JqncmcbNT8WGrMbUXGMutA) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,156] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,162] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,170] INFO [Broker id=0] Leader connect-offsets-6 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,174] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,181] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 98 with partition epoch 0, high watermark 98, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,182] INFO [Broker id=0] Leader connect-offsets-3 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,189] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,193] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,204] INFO [Broker id=0] Leader connect-offsets-22 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,209] INFO [Broker id=0] Leader connect-offsets-0 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,216] INFO [Broker id=0] Leader connect-offsets-19 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,224] INFO [Broker id=0] Leader coupon-rollback-0 with topic id Some(xZVPDED6SliXSfIbPDihaA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,229] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,234] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,239] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,244] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,254] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,261] INFO [Broker id=0] Leader connect-offsets-16 with topic id Some(2IuF_FgBRk-FUZ5qL0aLkA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,267] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 8 with partition epoch 0, high watermark 8, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-03-03 03:06:47,267] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(gJvOZBMaS8yHLYzUYZDinA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
